30-39 y/o % of total pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,R_death_2018,R_NATURAL_INC_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_Lower 95% CI,COPD_Upper 95% CI,diabetes_prevalence,diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI
11.86341656,0.594789782,73.0,12.7,-3.4,11.4,46.6,16.2,13.0,15.7,14.0,48809.0,45890.0,51728.0,5.2,48809.0,80.2,47.3,45.1,49.4,35.6,33.9,37.3,8.4,7.6,9.2,7.9,10.5,12.4,11.4,13.4,3.3,3.1,3.6
10.68158822,0.731448634,79.0,11.8,-2.2,20.3,32.5,15.3,15.9,22.4,20.3,43328.0,40396.0,46260.0,3.8,43328.0,80.4,51.9,49.5,54.2,37.1,35.4,38.8,9.7,8.8,10.8,9.3,12.7,14.0,12.9,15.2,3.6,3.4,4.0
10.74390146,0.394493197,3.0,14.0,-3.9,13.3,49.3,15.2,19.0,25.8,24.4,38572.0,34738.0,42406.0,6.4,38572.0,87.6,55.2,52.7,57.5,39.1,37.2,40.9,11.4,10.3,12.5,12.0,15.9,15.6,14.3,16.8,3.7,3.4,4.1
10.51790281,0.578644501,8.0,12.9,-1.9,11.7,42.5,18.4,12.4,17.3,15.8,51487.0,47212.0,55762.0,3.5,51487.0,92.4,44.4,42.0,46.9,31.9,30.2,33.5,8.7,7.8,9.6,9.0,12.2,13.2,12.0,14.3,3.4,3.1,3.6
10.66781067,0.443300443,3.0,12.0,0.1,7.5,35.9,19.3,10.0,16.4,15.6,54658.0,49513.0,59803.0,1.9,54658.0,91.0,47.2,44.6,49.7,37.0,35.0,38.9,8.7,7.8,9.6,6.8,9.4,11.6,10.5,12.6,3.4,3.1,3.7
13.65283097,0.755615361,142.0,12.7,-2.2,19.3,37.4,13.4,23.5,33.5,33.5,39545.0,35777.0,43313.0,4.0,39545.0,71.3,52.2,50.6,53.8,37.4,36.3,38.4,10.1,9.3,10.9,10.1,12.9,15.6,14.7,16.5,3.9,3.6,4.1
11.18338131,0.913405431,24.0,10.5,-1.8,8.3,31.8,30.0,10.8,15.5,14.2,56694.0,53834.0,59554.0,4.6,56694.0,83.8,37.9,35.6,39.9,29.0,27.4,30.4,7.9,7.0,8.8,7.1,10.1,11.0,10.0,12.2,3.1,2.9,3.4
15.18144365,0.555900446,136.0,6.5,8.9,13.9,35.2,14.7,11.5,13.5,12.2,63631.0,59833.0,67429.0,4.7,63631.0,89.1,45.3,43.4,47.1,36.2,34.9,37.4,6.1,5.6,6.7,5.6,7.3,10.7,10.0,11.5,2.8,2.6,3.0
8.877949414,0.339500934,11.0,13.7,-5.0,20.6,34.9,13.9,15.5,22.7,20.9,42862.0,38899.0,46825.0,3.9,42862.0,59.0,49.8,47.5,51.9,37.2,35.4,38.9,11.0,9.9,12.1,10.0,13.6,15.2,14.0,16.4,4.2,3.8,4.5
13.98980766,0.75620582,12.0,9.3,1.4,20.8,34.5,13.2,18.7,25.6,23.9,48814.0,43738.0,53890.0,3.8,48814.0,80.5,50.1,48.3,51.9,37.5,36.1,38.7,9.5,8.7,10.3,7.6,9.9,15.1,14.1,15.9,3.8,3.5,4.0
